,x,y
184,-0.03766443278908904,-0.2014476618056258
185,-0.03787046402100902,-0.20248678429891093
186,-0.03808201584792393,-0.20352188806387536
187,-0.03830039866224857,-0.20454804806399252
188,-0.03852642417190237,-0.20556111508242098
189,-0.03876113336566464,-0.2065565471128686
190,-0.03900582774283792,-0.2075292730994039
191,-0.039260336758395124,-0.20847632976221875
192,-0.03952478430646066,-0.20939398374179352
193,-0.039796126102878034,-0.21028418962314235
194,-0.0400715246909413,-0.21114807854833267
195,-0.04034780977706116,-0.2119884884241845
196,-0.04062183766259,-0.2128075527860377
197,-0.040890396932862484,-0.21360676480381213
198,-0.0411509398960705,-0.21439189366020203
199,-0.04140067837119398,-0.21516828604306004
200,-0.04164070842364808,-0.21594375220178205
201,-0.04187183486616786,-0.21672607459903984
202,-0.04209459540319036,-0.21752324138466128
203,-0.04230844454613003,-0.2183341033149467
204,-0.04251256946457884,-0.21915792200053635
205,-0.04270873548964919,-0.22000105566235453
206,-0.04289846918565211,-0.2208704419706124
207,-0.04308192012411015,-0.22176098136727665
208,-0.04325904939381948,-0.22266820888696617
209,-0.043429628433513806,-0.22358816020799066
210,-0.043595685955352736,-0.2245240352112269
211,-0.04375911502596019,-0.22547951148801806
212,-0.04392091907618882,-0.22644388957253409
213,-0.04408205278627993,-0.22740673705317666
214,-0.044244261508505,-0.22836863302463759
215,-0.04440932284549955,-0.22933012803633318
216,-0.04457909997834218,-0.23029176060888684
217,-0.044752903577261194,-0.23124515625308362
218,-0.04493016510646718,-0.23218169337185787
219,-0.04511206276617134,-0.2331075023917646
220,-0.04529991384049981,-0.2340283918963927
221,-0.04549521421601747,-0.2349500228838729
222,-0.04569661603291694,-0.23586857045254503
223,-0.04590295447463234,-0.2367801171981848
224,-0.046114439713505394,-0.237691518535381
225,-0.04633143632579257,-0.2386096255164692
226,-0.04655311430250684,-0.23953522994088977
227,-0.046778784075593986,-0.2404693485313832
228,-0.04700787583089099,-0.24141325343567205
229,-0.04724018848626663,-0.2423660661399366
230,-0.047475617586592016,-0.2433271753643564
231,-0.047713688760368536,-0.24429667184973397
232,-0.047954006898301094,-0.24527489795470053
233,-0.04819624430001927,-0.24626245792647505
234,-0.048441207697866064,-0.24725639165899882
235,-0.048689785604068316,-0.24825393025903558
236,-0.04894268745991471,-0.2492516151478715
237,-0.049200752425183236,-0.2502459921354568
238,-0.04946423250611298,-0.2512339383613013
239,-0.04973354216241288,-0.2522121380420629
240,-0.05000927074105296,-0.2531769829980467
241,-0.050292877902625016,-0.25413250349246835
242,-0.05058605966520884,-0.25508245005469654
243,-0.050885672953485825,-0.25602074869005353
244,-0.051188767637908146,-0.2569409759660555
245,-0.051492498030812364,-0.25783616630943784
246,-0.05179754228274955,-0.25871246070001525
247,-0.05210461796004177,-0.25957543323901805
248,-0.052410822901282246,-0.2604230340377945
249,-0.05271322882298266,-0.26125275205548604
250,-0.05301330635741564,-0.2620702388013643
251,-0.05331245628523579,-0.2628807788465467
252,-0.05361205155889932,-0.26368944836112956
253,-0.053911702456863,-0.2644980998977343
254,-0.0542110209263126,-0.26530858546964303
255,-0.05451088313353108,-0.26612449927392084
256,-0.054812181556934424,-0.26694959835460386
