L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
6.364318137,-13.41777023,14.60452898,12.16098537,16.05577908,5.340679514,-0.14410391,-3.68674521,26.62964762,10.67327732,5.37548646,27.62270327,30.47797728,-24.31727154,-17.5818274,40.44006586,-2.705657398,-36.12243909,121.8721061,118.8253597,69.44372547,73.43060665,118.6668692,80.84793332
6.366995151,-13.90882055,14.65705147,12.27711694,16.87768907,5.233002703,0.09317552,-3.79098351,24.77004265,10.66734832,4.54989825,27.60587295,30.364473,-24.68140761,-17.75984656,40.0768827,-1.643988301,-36.39139451,121.5742654,119.5910509,69.39995759,73.04899953,117.3962265,81.02737888
6.292382408,-14.1322094,14.54405845,12.31133877,17.64487012,5.09942157,0.2696123,-3.82121761,23.37713587,10.61003985,3.65470172,27.6117334,30.05346093,-25.02238013,-17.96675592,39.90025208,-0.680813986,-36.67704057,121.285939,120.3003607,69.49553139,72.66321283,116.2109926,81.14085233
6.181396278,-14.15339054,14.31909269,12.25472161,18.32580693,4.933837879,0.37498344,-3.8049124,22.50041494,10.52722222,2.71413765,27.63735336,29.49400372,-25.33581551,-18.16967618,39.97667187,0.186959715,-36.97458491,121.0154446,120.9489575,69.68812024,72.27391422,115.1190084,81.2001819
6.080073294,-14.07526078,14.04520319,12.11326749,18.91342186,4.745631458,0.41261428,-3.78498874,22.09361775,10.44647239,1.7836077,27.67492252,28.71174936,-25.62012803,-18.35749927,40.2940789,0.980417921,-37.27674785,120.7643602,121.5466113,69.93618534,71.88596479,114.1114417,81.23061474
6.019596581,-14.00056941,13.78315588,11.9075773,19.42231498,4.554946664,0.39925607,-3.80238711,22.03747933,10.38785323,0.93255118,27.71425641,27.80531678,-25.87795431,-18.53215109,40.76051169,1.730127992,-37.57485327,120.5272679,122.1099674,70.20876632,71.50496414,113.1700315,81.26146958
6.004366336,-13.99971884,13.58241294,11.66917577,19.87958864,4.384496711,0.36092352,-3.88191722,22.18209578,10.35958775,0.22131335,27.74380991,26.91536719,-26.11599221,-18.69939524,41.23390267,2.465489866,-37.86049685,120.2949708,122.6564167,70.48724795,71.13415412,112.2748588,81.31752375
6.012754915,-14.09395055,13.47361448,11.43321046,20.31456231,4.251294304,0.32614117,-4.02785771,22.39017455,10.35889811,-0.31831915,27.75096329,26.17589962,-26.34312599,-18.86419639,41.57349486,3.205980052,-38.12795758,120.0592878,123.2043968,70.76173436,70.77291025,111.4097703,81.41413114
6.009525283,-14.25788712,13.46310253,11.22787313,20.75145939,4.161203326,0.31718321,-4.22981675,22.56541916,10.37649841,-0.69110441,27.72377539,25.66327332,-26.56776337,-19.03032704,41.695281,3.95704441,-38.37672373,119.8169863,123.7796619,71.02722061,70.41741204,110.5631828,81.55581983
5.963610641,-14.43867198,13.53193645,11.06431718,21.20637179,4.107696761,0.3416479,-4.47383334,22.66036017,10.40262342,-0.9329144,27.6548643,25.3642529,-26.79505355,-19.2008559,41.607589,4.711350537,-38.61297971,119.5711997,124.4200955,71.28209075,70.06310592,109.7248453,81.73710188
5.862427096,-14.5825727,13.64153577,10.93342623,21.68736027,4.074431921,0.38982207,-4.75171358,22.66752954,10.43166197,-1.09642932,27.54572192,25.18396445,-27.02438205,-19.37701115,41.40440239,5.453953408,-38.84924489,119.3298007,125.1707996,71.52832239,69.70767891,108.8825423,81.94478938
5.71635186,-14.65699836,13.74548405,10.81358284,22.19572442,4.040125254,0.44259053,-5.06386292,22.60256085,10.46259091,-1.23574678,27.40881609,24.99893601,-27.24811964,-19.55584632,41.21145599,6.168520771,-39.10216176,119.1014036,126.0687024,71.77189539,69.35303527,108.0231044,82.16151867
5.553015324,-14.65916361,13.80383966,10.6866403,22.72711689,3.984026282,0.48787467,-5.41504363,22.48774718,10.49512125,-1.39589089,27.2658686,24.73300915,-27.45294443,-19.72901167,41.10852264,6.842114168,-39.38883048,118.8907312,127.1244784,72.02247315,69.00516931,107.1381573,82.36965051
5.405940031,-14.61025657,13.79476234,10.55248481,23.27223459,3.890650158,0.53558914,-5.80602419,22.3417164,10.52501951,-1.60842143,27.14261047,24.41422265,-27.62398022,-19.8843414,41.07064033,7.467689964,-39.72207841,118.6954457,128.3116807,72.29193539,68.6716243,106.2302908,82.55416587
5.30283093,-14.54085452,13.719411,10.43247087,23.81756059,3.752862033,0.62004206,-6.22629556,22.17678873,10.54236706,-1.89095857,27.06156202,24.17716687,-27.75025711,-20.0099896,40.96409062,8.044662672,-40.10546386,118.5061012,129.5694601,72.59161791,68.35759572,105.3147444,82.70389853
5.256875929,-14.47572784,13.5990741,10.35971622,24.34688086,3.572801367,0.78681374,-6.65335783,22.00172563,10.53328559,-2.24820856,27.03476994,24.20602839,-27.82923499,-20.09917231,40.60238549,8.577751336,-40.52987783,118.3097358,130.8202469,72.9287075,68.0629287,104.4152556,82.81184559
5.262770505,-14.4240164,13.46658884,10.36255068,24.84402219,3.36066135,1.07111921,-7.06083046,21.82549392,10.48351072,-2.67290416,27.05884683,24.64734075,-27.86871559,-20.1530664,39.83372758,9.074088914,-40.97419725,118.0956243,131.9974255,73.3031538,67.78173737,103.5559367,82.87555698
5.29862723,-14.37702967,13.35578593,10.44956837,25.29656808,3.13204066,1.47819375,-7.4307853,21.65822429,10.3833323,-3.14553072,27.11498634,25.53617271,-27.88550382,-20.18029345,38.61599748,9.539437481,-41.41110786,117.8600987,133.0699467,73.70682121,67.50443845,102.7520217,82.8975091
5.333887476,-14.3133206,13.292498,10.60220089,25.69961327,2.904987084,1.9732456,-7.76107886,21.50836311,10.23431159,-3.63285278,27.17546411,26.76871128,-27.90103491,-20.19331423,37.04589949,9.975608987,-41.81613837,117.6083617,134.0484215,74.12559618,67.22070117,102.0028147,82.88449674
5.340675463,-14.20898072,13.28926366,10.77761126,26.05821523,2.69744104,2.48420588,-8.06307105,21.37825133,10.05561273,-4.08723833,27.21496405,28.12868662,-27.93509929,-20.20381847,35.3350716,10.38097316,-42.1754938,117.3539764,134.9693397,74.54347461,66.92222341,101.2905758,82.84555071
5.303370389,-14.04911361,13.34427636,10.92096968,26.38706324,2.524991978,2.91712737,-8.353997,21.26160386,9.88434486,-4.44925768,27.22182139,29.35110332,-27.9998516,-20.21956132,33.7496229,10.75372043,-42.4888399,117.1174998,135.8707353,74.94700868,66.60529068,100.5875897,82.78916444
5.22184281,-13.83518286,13.4439504,10.98162374,26.70619144,2.398645301,3.18026836,-8.65010043,21.14493525,9.76588755,-4.65346424,27.20375144,30.19534553,-28.09664336,-20.24382121,32.53913242,11.09518044,-42.76650432,116.9239737,136.7750014,75.3291801,66.27294771,99.8693789,82.72121835
5.10804732,-13.58440778,13.56785786,10.92589972,27.03288464,2.322745906,3.20925093,-8.96241456,21.01250206,9.73749648,-4.63426812,27.18540715,30.50308078,-28.21704675,-20.27674358,31.87711515,11.41036022,-43.02383913,116.7979378,137.6845334,75.69223701,65.9351561,99.12741566,82.64426847
4.97936561,-13.32150461,13.69466004,10.74261225,27.37226744,2.293604747,2.98522296,-9.29470068,20.8525614,9.81407855,-4.32986534,27.19900702,30.22852205,-28.34728619,-20.31679337,31.82502182,11.70526225,-43.27623651,116.7561045,138.587835,76.04847446,65.60512234,98.37443879,82.5577889
4.852484553,-13.06735914,13.80766459,10.44258278,27.71105798,2.299377668,2.54093963,-9.64370204,20.6622989,9.98283208,-3.68693887,27.27184943,29.44012518,-28.47375781,-20.36112952,32.3233899,11.98320807,-43.53649561,116.8004802,139.4717263,76.41753959,65.29290909,97.64064715,82.45886007
